date,lmd_temperature,lmd_umidity,lmd-light,CO2,HumidityRatio,nwp_temperature,nwp_solar_radiation,hdd,occupancy
2/5/2015 1:00,21.15874317,25.17617486,0,443.9303279,0.003906497,-2.57,0,0.774,0
2/5/2015 2:00,21.02966102,24.93564972,0,440.3220339,0.003838212,-2.9,0,0.787,0
2/5/2015 3:00,20.96822222,24.68211111,0,442.4444444,0.003784497,-3.33,0,0.805,0
2/5/2015 4:00,20.92229508,24.13419399,0,443.8374317,0.003689487,-3.64,0,0.818,0
2/5/2015 5:00,20.89320621,23.50707627,0,447.6059322,0.003586652,-3.92,0,0.83,0
2/5/2015 6:00,20.84041667,23.05134722,0,451.0694444,0.003505363,-4.11,0,0.838,0
2/5/2015 7:00,20.75416667,22.73862022,153.5688525,473.3715847,0.003439369,-3.99,13.42,0.833,1
2/5/2015 8:00,21.26320621,24.04511299,428.9564972,681.8347458,0.003754539,-2.78,97.55,0.783,1
2/5/2015 9:00,21.96186111,25.61100556,476.8097222,952.6006945,0.004177519,-0.92,165.15,0.705,1
2/5/2015 10:00,22.07434426,26.40564481,458.602459,1030.280055,0.004336353,0.51,224.51,0.645,1
2/5/2015 11:00,22.17542373,26.83399718,452.5141243,1098.772599,0.004434644,1.08,244.03,0.622,1
2/5/2015 12:00,22.52768056,26.76844444,570.8297222,1080.221667,0.004520167,1.23,280.29,0.615,1
2/5/2015 13:00,22.45680328,26.0725,317.8349727,907.1461749,0.004383048,1.07,244.02,0.622,1
2/5/2015 14:00,22.26738701,27.27955932,467.6305085,915.2550847,0.004534725,0.65,183.63,0.64,1
2/5/2015 15:00,22.53120833,27.70670833,481.2805556,1085.425,0.004681002,-0.19,96.09,0.675,1
2/5/2015 16:00,22.38124317,26.49841803,442.4781421,1065.132514,0.004434464,-1.36,18.49,0.723,1
2/5/2015 17:00,22.20337571,24.81294915,433.5,940.8587571,0.004105892,-1.67,0,0.736,1
2/5/2015 18:00,21.56308333,23.01426389,32.3,728.3222222,0.003661841,-1.77,0,0.74,1
2/5/2015 19:00,21.17797814,20.14352459,0,538.0122951,0.003125636,-1.9,0,0.746,0
2/5/2015 20:00,21.14049435,19.46601695,0,479.6850282,0.003012715,-1.9,0,0.746,0
2/5/2015 21:00,20.82952778,20.14011111,0,464.5388889,0.00305818,-1.95,0,0.748,0
2/5/2015 22:00,20.56489071,20.94129781,0,454.4016393,0.003128839,-2.23,0,0.76,0
2/5/2015 23:00,20.3685452,21.28262712,0,445.1638418,0.003141715,-2.68,0,0.778,0
2/6/2015 0:00,20.18716667,21.05180556,0,444.3263889,0.003072568,-3.1,0,0.796,0
2/6/2015 1:00,20.36434426,20.29923497,0,438.7964481,0.002994779,-3.32,0,0.805,0
2/6/2015 2:00,20.52929379,19.40624294,0,434.1864407,0.002892151,-3.5,0,0.813,0
2/6/2015 3:00,20.49813889,18.96861111,0,432.5027778,0.002821169,-3.65,0,0.819,0
2/6/2015 4:00,20.42877049,18.70877049,0,433.0846995,0.002770385,-3.75,0,0.823,0
2/6/2015 5:00,20.33601695,18.71470339,0,432.6257062,0.002755343,-3.8,0,0.825,0
2/6/2015 6:00,20.27730556,18.67341667,0,433.0388889,0.00273925,-3.81,0,0.825,0
2/6/2015 7:00,20.22730874,18.67501366,139.5060109,443.8497268,0.002731049,-3.65,11.4,0.819,1
2/6/2015 8:00,20.80783898,19.64271186,425.6836158,589.7867232,0.002978661,-2.72,80.34,0.78,1
2/6/2015 9:00,21.10133333,20.79786944,446.3522222,757.5741667,0.003212749,-1.52,158.7,0.73,1
2/6/2015 10:00,21.45431421,21.08493716,471.370765,839.6519126,0.003328413,-0.38,229.52,0.682,1
2/6/2015 11:00,21.71535311,20.53006497,476.6864407,815.4889831,0.003292883,0.59,306.76,0.642,1
2/6/2015 12:00,21.71845833,20.269625,454.0069444,792.3819444,0.003251518,1.22,319.2,0.616,1
2/6/2015 13:00,21.49193989,19.5120765,388.5994536,665.5092896,0.003085926,1.57,330.19,0.601,1
2/6/2015 14:00,22.0260452,20.04312147,540.2909605,756.3361582,0.00327745,1.44,261.27,0.607,1
2/6/2015 15:00,22.11416667,21.39315278,494.2833333,891.6,0.003517187,0.64,139.97,0.64,1
2/6/2015 16:00,21.84494536,21.44984973,461.0161202,904.0830601,0.003468572,-0.77,25.05,0.699,1
2/6/2015 17:00,21.70172316,21.40388701,437.2960452,862.5833333,0.003431077,-1.85,0,0.744,1
2/6/2015 18:00,21.24977778,20.30415278,50.4,681.3319444,0.00316588,-2.36,0,0.765,1
2/6/2015 19:00,20.59885246,19.38061475,0,514.1704918,0.002901106,-2.71,0,0.78,0
2/6/2015 20:00,20.30724576,19.17757062,0,459.9180791,0.002818805,-2.99,0,0.791,0
2/6/2015 21:00,20.1775,18.98297222,0,445.3361111,0.002767662,-3.17,0,0.799,0
2/6/2015 22:00,20.02196721,18.86046448,0,439.7185792,0.002723256,-3.3,0,0.804,0
2/6/2015 23:00,19.96819209,18.77915254,0,437.3997175,0.002702398,-3.45,0,0.81,0
2/7/2015 0:00,20.00259722,18.709,0,437.4319444,0.002698027,-3.61,0,0.817,0
2/7/2015 1:00,19.9326776,18.75765027,0,437.3825137,0.002693317,-3.75,0,0.823,0
2/7/2015 2:00,19.88237288,18.94237288,0,438.3050847,0.002711465,-3.81,0,0.825,0
2/7/2015 3:00,19.79702778,19.14872222,0,438.8875,0.002726595,-3.84,0,0.827,0
2/7/2015 4:00,19.78196721,19.32196721,0,441.7021858,0.00274879,-3.88,0,0.828,0
2/7/2015 5:00,19.76101695,19.31039548,0,442.661017,0.002743551,-3.85,0,0.827,0
2/7/2015 6:00,19.71716667,19.32473611,0,445.4652778,0.002738098,-4.06,0,0.836,0
2/7/2015 7:00,19.68445355,19.38230874,0,449.4303279,0.002740711,-3.65,18.47,0.819,0
2/7/2015 8:00,19.64090395,19.4924096,18.32909604,453.9169491,0.00274887,-2.16,131.73,0.757,0
2/7/2015 9:00,20.35222222,19.11469444,220.8252778,456.7191667,0.002817217,-0.19,261.32,0.675,0
2/7/2015 10:00,21.68060109,18.28784153,305.5942623,459.647541,0.002925007,1.58,350.95,0.601,0
2/7/2015 11:00,22.56071186,17.65727401,348.0929379,455.0576271,0.002980303,2.88,381.2,0.547,0
2/7/2015 12:00,23.01165278,17.36651944,310.3075,450.7791667,0.003012482,3.67,325.13,0.514,0
2/7/2015 13:00,22.94405738,16.94949454,209.5887978,444.4590164,0.002927893,3.94,301.23,0.503,0
2/7/2015 14:00,22.37266949,17.48594633,119.940678,441.8262712,0.002917283,3.67,217.23,0.514,0
2/7/2015 15:00,21.67327778,18.447,53.78027778,441.0944444,0.002949007,2.01,107,0.583,0
2/7/2015 16:00,20.92406284,19.87068306,17.2773224,438.8598361,0.003034314,0.62,16.52,0.641,0
2/7/2015 17:00,20.51456215,21.24887006,0,437.411017,0.003164988,1.07,0,0.622,0
2/7/2015 18:00,20.28052778,22.72018056,0,436.7375,0.003336456,1.25,0,0.615,0
2/7/2015 19:00,20.08387978,24.23896175,0,440.7923497,0.003517551,1.03,0,0.624,0
2/7/2015 20:00,19.97398305,25.57173729,0,441.690678,0.003686847,1.13,0,0.62,0
2/7/2015 21:00,19.85694444,26.89925,0,440.0208333,0.003851315,1.31,0,0.612,0
2/7/2015 22:00,19.74163934,28.10560109,0,437.8142077,0.003996237,1.83,0,0.59,0
2/7/2015 23:00,19.65932203,29.05669492,0,438.0480226,0.004111271,2.44,0,0.565,0
2/8/2015 0:00,19.57791667,29.71705556,0,438.3847222,0.004183965,2.74,0,0.553,0
2/8/2015 1:00,19.51357924,30.25545082,0,438.2827869,0.004243185,2.93,0,0.545,0
2/8/2015 2:00,19.39466102,30.84805085,0,437.7768362,0.004294753,2.92,0,0.545,0
2/8/2015 3:00,19.38547222,31.09547222,0,436.8694444,0.004326958,2.69,0,0.555,0
2/8/2015 4:00,19.34136612,31.3268306,0,435.6844262,0.00434734,2.39,0,0.567,0
2/8/2015 5:00,19.27364407,31.59011299,0,433.8615819,0.004365562,1.88,0,0.588,0
2/8/2015 6:00,19.223875,31.57113889,0,433.6236111,0.004349328,1.71,0,0.595,0
2/8/2015 7:00,19.15262295,31.29849727,0,433.1530055,0.004292243,1.92,14.53,0.587,0
2/8/2015 8:00,19.22783898,31.13079096,9.137288136,434.3474576,0.004289304,2.83,115.28,0.549,0
2/8/2015 9:00,19.33435556,30.84443889,37.73027778,432.5225,0.004277971,3.9,158.81,0.504,0
2/8/2015 10:00,19.2904918,30.55885246,20.71584699,431.7142077,0.004226553,4.85,195.34,0.465,0
2/8/2015 11:00,19.1479096,30.81457627,19.42655367,431.4350282,0.004224137,5.62,246.9,0.432,0
2/8/2015 12:00,19.66247222,30.15336111,153.3027778,427.5833333,0.004267804,5.98,257.45,0.418,0
2/8/2015 13:00,20.65662568,27.74766393,183.4355191,425.1693989,0.004176094,5.96,267.4,0.418,0
2/8/2015 14:00,20.52214689,26.27379661,95.89491525,421.8449153,0.003920506,5.43,217.2,0.44,0
2/8/2015 15:00,20.05501389,26.32391667,44.94305556,421.8027778,0.003815317,3.6,134.89,0.517,0
2/8/2015 16:00,19.60711749,26.82362022,26.00054645,422.1721311,0.003780974,0.64,25.2,0.64,0
2/8/2015 17:00,19.39714689,27.17680791,8.079096045,424.3742938,0.003781126,-0.82,0,0.701,0
2/8/2015 18:00,19.31052778,27.45984722,0,427.2222222,0.00380006,-1.14,0,0.714,0
2/8/2015 19:00,19.30844262,27.64923497,0,435.420765,0.00382595,-1.27,0,0.72,0
2/8/2015 20:00,19.39248588,27.47731638,0,441.9435028,0.003822075,-1.38,0,0.724,0
2/8/2015 21:00,19.47066667,27.54119444,0,448.5555556,0.003849851,-1.13,0,0.714,0
2/8/2015 22:00,19.50163934,27.70729508,0,449.6571038,0.003880687,-0.94,0,0.706,0
2/8/2015 23:00,19.49875706,27.41268362,0,452.4096045,0.003838478,-0.84,0,0.702,0
2/9/2015 0:00,19.45202778,26.91513889,0,459.8305556,0.003757439,-0.56,0,0.69,0
2/9/2015 1:00,19.40639344,27.16161202,0,462.5956284,0.003781208,-0.45,0,0.685,0
2/9/2015 2:00,19.39838983,26.79288136,0,469.4971751,0.003727676,0.08,0,0.663,0
2/9/2015 3:00,19.36008333,26.72216667,0,470.1333333,0.003708871,0.27,0,0.655,0
2/9/2015 4:00,19.31704918,26.79688525,0,467.3661202,0.003709287,-0.1,0,0.671,0
2/9/2015 5:00,19.43652542,26.74954802,0,462.1129943,0.003730517,-0.01,0,0.667,0
2/9/2015 6:00,19.37808333,26.36886111,0,464.1708333,0.003663788,0.31,0,0.654,0
2/9/2015 7:00,19.41330601,26.15920765,0,468.8825137,0.003642483,0.55,17.27,0.644,0
2/9/2015 8:00,19.52838983,26.93920904,100.1002825,479.1581921,0.003778964,1.02,111.13,0.624,1
2/9/2015 9:00,20.26056944,30.22916389,422.4930556,812.94625,0.004444742,1.54,95.64,0.603,1
2/9/2015 10:00,20.86621585,32.19719945,443.5614754,1204.82459,0.0049155,2.05,149.01,0.581,1
2/9/2015 11:00,21.27271186,33.19785311,473.8644068,1415.986441,0.005198323,2.55,145.83,0.56,1
2/9/2015 12:00,21.49686111,33.96463889,474.4930556,1385.977778,0.005393421,2.85,142.16,0.548,1
2/9/2015 13:00,21.31946721,33.03912568,290.5204918,1171.052186,0.005188311,3.22,122.15,0.533,1
2/9/2015 14:00,21.62402542,34.78600282,473.2937853,1352.312712,0.005570486,3.38,84.23,0.526,1
2/9/2015 15:00,21.94056944,37.38809722,444.7333333,1759.549167,0.006107367,2.57,33.33,0.56,1
2/9/2015 16:00,22.06871585,38.74652732,439.0915301,1974.175683,0.006381588,1.47,12.66,0.605,1
2/9/2015 17:00,22.12475989,38.66202684,428.1836158,1960.314972,0.006389488,1.44,0,0.607,1
2/9/2015 18:00,21.61569444,36.94483333,31.96944445,1552.293056,0.005916761,1.46,0,0.606,1
2/9/2015 19:00,20.80198087,35.68653005,0,1143.971312,0.005431032,1.23,0,0.615,0
2/9/2015 20:00,20.51935028,34.58200565,0,875.0254237,0.005169414,1,0,0.625,0
2/9/2015 21:00,20.49938889,33.69336111,0,692.8013889,0.005029175,1.11,0,0.62,0
2/9/2015 22:00,20.47806011,33.18170765,0,621.3729508,0.004945656,1.27,0,0.614,0
2/9/2015 23:00,20.39745763,32.96131356,0,524.1567797,0.004887952,1.33,0,0.611,0
2/10/2015 0:00,20.32166667,32.97722222,0,487.2680556,0.004867311,1.27,0,0.614,0
2/10/2015 1:00,20.28833333,32.9392623,0,467.4508197,0.004851574,1.12,0,0.62,0
2/10/2015 2:00,20.27627119,32.88576271,0,457.3644068,0.004840004,1.01,0,0.625,0
2/10/2015 3:00,20.233625,32.89559722,0,451.4222222,0.004828623,1.03,0,0.624,0
2/10/2015 4:00,20.1579235,32.96393443,0,446.5505465,0.004815939,1.08,0,0.622,0
2/10/2015 5:00,20.14096045,33.03127119,0,447.1963277,0.004820758,1.27,0,0.614,0
2/10/2015 6:00,20.14959722,33.095125,0,449.0611111,0.004832771,1.36,0,0.61,0
2/10/2015 7:00,20.29472678,33.03553279,0,451.2377049,0.004867803,1.74,19.93,0.594,0
2/10/2015 8:00,20.35437853,33.31929379,157.6723164,468.4717514,0.004928529,2.52,68.88,0.562,1
2/10/2015 9:00,20.88155637,35.23148284,429.3970588,673.3541667,0.005388348,2.94,67.62,0.544,1
2/10/2015 10:00,0,0,0,0,0,0,0,0,0
2/10/2015 11:00,0,0,0,0,0,0,0,0,0
2/10/2015 12:00,0,0,0,0,0,0,0,0,0
2/10/2015 13:00,0,0,0,0,0,0,0,0,0
2/10/2015 14:00,0,0,0,0,0,0,0,0,0
2/10/2015 15:00,0,0,0,0,0,0,0,0,0
2/10/2015 16:00,0,0,0,0,0,0,0,0,0
2/10/2015 17:00,0,0,0,0,0,0,0,0,0
2/10/2015 18:00,0,0,0,0,0,0,0,0,0
2/10/2015 19:00,0,0,0,0,0,0,0,0,0
2/10/2015 20:00,0,0,0,0,0,0,0,0,0
2/10/2015 21:00,0,0,0,0,0,0,0,0,0
2/10/2015 22:00,0,0,0,0,0,0,0,0,0
2/10/2015 23:00,0,0,0,0,0,0,0,0,0
2/11/2015 0:00,0,0,0,0,0,0,0,0,0
2/11/2015 1:00,0,0,0,0,0,0,0,0,0
2/11/2015 2:00,0,0,0,0,0,0,0,0,0
2/11/2015 3:00,0,0,0,0,0,0,0,0,0
2/11/2015 4:00,0,0,0,0,0,0,0,0,0
2/11/2015 5:00,0,0,0,0,0,0,0,0,0
2/11/2015 6:00,0,0,0,0,0,0,0,0,0
2/11/2015 7:00,0,0,0,0,0,0,0,0,0
2/11/2015 8:00,0,0,0,0,0,0,0,0,0
2/11/2015 9:00,0,0,0,0,0,0,0,0,0
2/11/2015 10:00,0,0,0,0,0,0,0,0,0
2/11/2015 11:00,0,0,0,0,0,0,0,0,0
2/11/2015 12:00,0,0,0,0,0,0,0,0,0
2/11/2015 13:00,0,0,0,0,0,0,0,0,0
2/11/2015 14:00,21.78125,31.27027778,437.0416667,1020.513889,0.005049894,6.55,83.35,0.394,1
2/11/2015 15:00,21.87847222,31.062125,435.3902778,949.1430555,0.00504609,5.11,47.88,0.454,1
2/11/2015 16:00,21.90491803,30.26449454,429.9754098,780.9931694,0.004923533,2.02,23.58,0.583,1
2/11/2015 17:00,21.88514407,29.96880791,424.299435,735.5522599,0.004869331,0.75,0,0.635,1
2/11/2015 18:00,21.63704167,28.98952778,172.0138889,656.5916667,0.004637511,0.18,0,0.659,1
2/11/2015 19:00,21.1010929,29.80351093,0,550.8032787,0.004613468,-0.06,0,0.669,0
2/11/2015 20:00,20.92812147,29.66799435,0,504.809322,0.004543375,-0.13,0,0.672,0
2/11/2015 21:00,20.762375,29.53426389,0,489.6430556,0.00447654,0.01,0,0.666,0
2/11/2015 22:00,20.60273224,28.52547814,0,490.0655738,0.004280283,0.13,0,0.661,0
2/11/2015 23:00,20.60423729,27.63337571,0,497.1567797,0.004145582,0.12,0,0.662,0
2/12/2015 0:00,20.60541667,26.68352778,0,508.6430556,0.004002405,-0.24,0,0.677,0
2/12/2015 1:00,20.59617486,25.93409836,0,534.8401639,0.003887146,-0.61,0,0.692,0
2/12/2015 2:00,20.59646893,25.34525424,0,552.4237288,0.003798373,-0.98,0,0.708,0
2/12/2015 3:00,20.6225,24.61531944,0,601.4194444,0.00369426,-1.35,0,0.723,0
2/12/2015 4:00,20.60901639,24.17217213,0,562.8032787,0.003624356,-1.58,0,0.732,0
2/12/2015 5:00,20.525,23.7645339,0,574.6129944,0.003544388,-1.76,0,0.74,0
2/12/2015 6:00,20.54241667,22.78102778,0,610.05,0.003400474,-1.89,0,0.745,0
2/12/2015 7:00,20.52062842,22.63280055,0,721.2213115,0.003373725,-1.49,18.83,0.729,0
2/12/2015 8:00,20.67786723,22.33665254,219.169774,805.3189265,0.003362725,-0.34,81.23,0.681,1
2/12/2015 9:00,22.23539444,24.62068056,593.3652778,1050.55,0.004084463,1.65,168.75,0.598,1
2/12/2015 10:00,23.5322541,22.85773224,553.8538251,830.7581967,0.004098783,3.63,220.52,0.515,1
2/12/2015 11:00,24.02905367,22.52105932,260.2076271,812.5042373,0.004161555,5.44,219.78,0.44,0
2/12/2015 12:00,24.18111111,22.889875,353.3294444,755.7388889,0.004269715,6.48,228.63,0.397,1
2/12/2015 13:00,24.16945628,23.74348087,280.876776,713.1844262,0.004426246,6.94,209.54,0.377,1
2/12/2015 14:00,23.58792373,24.6099209,106.6259887,611.2446328,0.00442955,6.75,147.37,0.385,1
2/12/2015 15:00,22.77908333,25.61809722,57.66944444,558.5819444,0.004391489,5.33,77.01,0.445,0
2/12/2015 16:00,22.25013661,26.84650273,371.5642077,570.9519126,0.004456501,1.76,21.98,0.593,1
2/12/2015 17:00,21.95495763,27.87926554,317.170339,619.4477401,0.004546586,0.25,0,0.656,1
2/12/2015 18:00,21.77594444,28.091,0,594.9694444,0.004531338,0.44,0,0.648,0
2/12/2015 19:00,21.41229508,28.04448087,0,566.8114754,0.004423614,0.79,0,0.634,0
2/12/2015 20:00,21.215,27.71782486,0,561.4011299,0.004318643,1.18,0,0.617,0
2/12/2015 21:00,21.14602778,27.22608333,0,566.0722222,0.004223425,1.26,0,0.614,0
2/12/2015 22:00,21.00829235,26.81788251,0,564.1530055,0.004124448,1.09,0,0.621,0
2/12/2015 23:00,20.99937853,26.05574859,0,568.7076271,0.004004228,0.94,0,0.628,0
2/13/2015 0:00,21.00166667,25.42263889,0,572.2694444,0.003906875,0.87,0,0.63,0
2/13/2015 1:00,21.00382514,24.8784153,0,577.3237705,0.003823235,0.83,0,0.632,0
2/13/2015 2:00,20.96457627,24.7254096,0,578.1115819,0.003790392,0.95,0,0.627,0
2/13/2015 3:00,20.90520833,24.4005,0,579.7527778,0.003726577,1,0,0.625,0
2/13/2015 4:00,20.88344262,24.41625683,0,576.9863388,0.003723951,0.78,0,0.634,0
2/13/2015 5:00,20.80423729,25.02305085,0,564.2344633,0.00379828,0.6,0,0.642,0
2/13/2015 6:00,20.79643056,25.30598611,0,541.7833333,0.003839659,0.56,0,0.643,0
2/13/2015 7:00,20.87319672,25.53872951,0,523.7622951,0.00389374,0.94,25.88,0.628,0
2/13/2015 8:00,21.07121469,25.435,43.33333333,516.420904,0.003925546,1.9,139.8,0.587,1
2/13/2015 9:00,22.05093056,25.42740278,616.0125,575.8,0.004168368,3.75,261.8,0.51,1
2/13/2015 10:00,23.1886612,24.63836066,760.4644809,615.547541,0.00432929,5.84,360.5,0.423,1
2/13/2015 11:00,23.7574435,25.3295904,797.6039548,696.7932203,0.004608049,7.78,379.14,0.342,1
2/13/2015 12:00,23.87027778,25.12661111,765.19,629.8536111,0.00460222,9,376.95,0.292,1
2/13/2015 13:00,23.79356557,25.66131148,393.6448087,564.2035519,0.004678903,9.41,277.46,0.275,1
2/13/2015 14:00,23.35676554,27.18420904,570.5960452,562.530226,0.004828449,9.23,207.38,0.282,1
2/13/2015 15:00,22.76752778,28.89042222,488.6319444,576.545,0.004952628,8.31,109.35,0.32,1
2/13/2015 16:00,21.90530055,30.94476776,442.5819672,608.7923497,0.00503443,6.86,28.3,0.381,1
2/13/2015 17:00,21.39984463,32.22725989,430.6172316,597.8785311,0.005084506,5.98,0,0.418,1
2/13/2015 18:00,21.27709722,32.49733333,34.79166667,553.7,0.005088909,5.77,0,0.426,1
2/13/2015 19:00,20.91677596,32.09416667,0,515.7418033,0.004914766,5.68,0,0.43,0
2/13/2015 20:00,20.55637006,31.52375706,0,512.2655367,0.004719741,5.47,0,0.439,0
2/13/2015 21:00,20.33844444,31.21055556,0,511.0361111,0.004609437,5.3,0,0.446,0
2/13/2015 22:00,20.16349727,31.61322404,0,510.9699454,0.004618711,5.14,0,0.452,0
2/13/2015 23:00,20.05607345,32.95525424,0,506.9887006,0.004783998,5.37,0,0.443,0
2/14/2015 0:00,19.96220833,34.20556944,0,504.6513889,0.004937929,5.69,0,0.43,0
2/14/2015 1:00,19.87387978,35.59057377,0,502.9180328,0.005111391,5.7,0,0.429,0
2/14/2015 2:00,19.78742938,36.25225989,0,504.4548023,0.005179154,5.81,0,0.425,0
2/14/2015 3:00,19.70722222,36.48881944,0,502.6513889,0.005187148,5.83,0,0.424,0
2/14/2015 4:00,19.63346995,36.71527322,0,501.3879781,0.005195553,5.75,0,0.427,0
2/14/2015 5:00,19.60776836,38.20716102,0,503.3644068,0.005399806,5.52,0,0.437,0
2/14/2015 6:00,19.53694444,39.03056944,0,504.7944444,0.005492686,5.12,0,0.453,0
2/14/2015 7:00,19.60204918,38.15136612,0,505.9030055,0.00538982,5,17.89,0.458,0
2/14/2015 8:00,19.82718927,36.88686441,3.988700565,506.1483051,0.005283579,5.57,81.64,0.435,0
