Period;Begin;Duration (Hours);Air temperature - average (°C);Humidity;Air temperature - average (°C);Solar radiation - horizontal (Wh/m²);Heating degree-days 16°C (°C-d)
50;2015-02-04T15:00:00;1;24.40833333;25.68166667;1.51;90.25;0.60375
51;2015-02-04T16:00:00;1;24.40833333;25.68166667;-0.83;17.92;0.70124999999999993
52;2015-02-04T17:00:00;1;24.215416663833331;25.91241666949999;-1.01;0;0.70875
53;2015-02-04T18:00:00;1;22.622361111166651;27.392027777999971;-1.38;0;0.72416666666666663
54;2015-02-04T19:00:00;1;22.067263888999985;27.183305555666657;-1.85;0;0.74375
55;2015-02-04T20:00:00;1;21.676916666666635;26.757166666666645;-1.68;0;0.73666666666666658
56;2015-02-04T21:00:00;1;21.476291666666651;25.90922222233333;-1.88;0;0.74499999999999988
57;2015-02-04T22:00:00;1;21.330361110999963;25.693611111166646;-1.85;0;0.74375
58;2015-02-04T23:00:00;1;21.204416666666642;25.417749999999987;-1.89;0;0.74541666666666662
59;2015-02-05T00:00:00;1;21.200722222333326;25.295749999999988;-2.17;0;0.75708333333333333
60;2015-02-05T01:00:00;1;21.159999999833314;25.174472222333314;-2.57;0;0.77374999999999994
61;2015-02-05T02:00:00;1;21.029444444333315;24.93718055566665;-2.9;0;0.78749999999999987
62;2015-02-05T03:00:00;1;20.967611111333319;24.68102777766666;-3.33;0;0.80541666666666656
63;2015-02-05T04:00:00;1;20.920694444666655;24.13681944449997;-3.64;0;0.81833333333333336
64;2015-02-05T05:00:00;1;20.896347222333308;23.508180555666648;-3.92;0;0.83000000000000007
65;2015-02-05T06:00:00;1;20.838555555666641;23.044902777833315;-4.11;0;0.83791666666666664
66;2015-02-05T07:00:00;1;20.75241666649999;22.728666666333307;-3.99;13.42;0.83291666666666675
67;2015-02-05T08:00:00;1;21.262874999666657;24.039833333666635;-2.78;97.55;0.7825
68;2015-02-05T09:00:00;1;21.963944444499983;25.621094444499981;-0.92;165.15;0.70500000000000007
69;2015-02-05T10:00:00;1;22.070083333499973;26.39945833333331;0.51;224.51;0.64541666666666664
70;2015-02-05T11:00:00;1;22.172638888999973;26.834319444666644;1.08;244.03;0.62166666666666659
71;2015-02-05T12:00:00;1;22.530791666833327;26.769680555499981;1.23;280.29;0.61541666666666661
72;2015-02-05T13:00:00;1;22.457222222166646;26.076097222166641;1.07;244.02;0.62208333333333332
73;2015-02-05T14:00:00;1;22.267972222166641;27.269177777999985;0.65;183.63;0.63958333333333328
74;2015-02-05T15:00:00;1;22.531208333333318;27.692222222166645;-0.19;96.09;0.67458333333333331
75;2015-02-05T16:00:00;1;22.381319444499972;26.517352777333318;-1.36;18.49;0.72333333333333327
76;2015-02-05T17:00:00;1;22.2033333333333;24.816080555999985;-1.67;0;0.73625000000000007
77;2015-02-05T18:00:00;1;21.5575833333333;23.016277777999981;-1.77;0;0.74041666666666661
78;2015-02-05T19:00:00;1;21.175694444499978;20.148958333499984;-1.9;0;0.74583333333333324
79;2015-02-05T20:00:00;1;21.138249999999996;19.470277777666652;-1.9;0;0.74583333333333324
80;2015-02-05T21:00:00;1;20.831805555499979;20.145944444499992;-1.95;0;0.74791666666666656
81;2015-02-05T22:00:00;1;20.563888888833304;20.939111110999967;-2.23;0;0.75958333333333328
82;2015-02-05T23:00:00;1;20.367055555666635;21.282374999999981;-2.68;0;0.77833333333333332
83;2015-02-06T00:00:00;1;20.18661111133332;21.044916666833313;-3.1;0;0.79583333333333339
84;2015-02-06T01:00:00;1;20.3650833333333;20.306972222333304;-3.32;0;0.80499999999999994
85;2015-02-06T02:00:00;1;20.522444444499985;19.408388889166655;-3.5;0;0.8125
86;2015-02-06T03:00:00;1;20.497027777499987;18.958916666333316;-3.65;0;0.81874999999999987
87;2015-02-06T04:00:00;1;20.432472221999987;18.709152777833328;-3.75;0;0.82291666666666663
88;2015-02-06T05:00:00;1;20.334416666833302;18.717402777999997;-3.8;0;0.825
89;2015-02-06T06:00:00;1;20.279916666666644;18.674305555499984;-3.81;0;0.82541666666666658
90;2015-02-06T07:00:00;1;20.225861110999976;18.668138888999984;-3.65;11.4;0.81874999999999987
91;2015-02-06T08:00:00;1;20.805902777999986;19.637486110833315;-2.72;80.34;0.77999999999999992
92;2015-02-06T09:00:00;1;21.103180555499982;20.80241666649999;-1.52;158.7;0.73
93;2015-02-06T10:00:00;1;21.448288888833318;21.081883333333316;-0.38;229.52;0.68249999999999988
94;2015-02-06T11:00:00;1;21.715430555499974;20.528549999999981;0.59;306.76;0.64208333333333334
95;2015-02-06T12:00:00;1;21.719249999999985;20.26834722249998;1.22;319.2;0.61583333333333323
96;2015-02-06T13:00:00;1;21.48805555549999;19.518722222499978;1.57;330.19;0.60125
97;2015-02-06T14:00:00;1;22.022166666833318;20.04141666649998;1.44;261.27;0.60666666666666669
98;2015-02-06T15:00:00;1;22.113333333499991;21.396611110999984;0.64;139.97;0.6399999999999999
99;2015-02-06T16:00:00;1;21.842624999833323;21.446124999666651;-0.77;25.05;0.69875
100;2015-02-06T17:00:00;1;21.700874999999971;21.405349999666644;-1.85;0;0.74375
101;2015-02-06T18:00:00;1;21.246222222166658;20.297027777666649;-2.36;0;0.7649999999999999
102;2015-02-06T19:00:00;1;20.597805555499981;19.379861111166655;-2.71;0;0.77958333333333329
103;2015-02-06T20:00:00;1;20.308166666666637;19.170749999999984;-2.99;0;0.79125
104;2015-02-06T21:00:00;1;20.177777777833313;18.981805555499978;-3.17;0;0.79875000000000007
105;2015-02-06T22:00:00;1;20.015666666666643;18.861388888833314;-3.3;0;0.8041666666666667
106;2015-02-06T23:00:00;1;19.969638888999985;18.781291666666668;-3.45;0;0.81041666666666656
107;2015-02-07T00:00:00;1;20.003152777666653;18.708333333333332;-3.61;0;0.81708333333333327
108;2015-02-07T01:00:00;1;19.9327777778333;18.758194444499981;-3.75;0;0.82291666666666663
109;2015-02-07T02:00:00;1;19.879999999999978;18.938749999999981;-3.81;0;0.82541666666666658
110;2015-02-07T03:00:00;1;19.796749999999982;19.149944444499994;-3.84;0;0.82666666666666666
111;2015-02-07T04:00:00;1;19.782333333333309;19.318611111166646;-3.88;0;0.82833333333333325
112;2015-02-07T05:00:00;1;19.758874999999975;19.314222222166659;-3.85;0;0.82708333333333339
113;2015-02-07T06:00:00;1;19.717916666666646;19.326986111166661;-4.06;0;0.83583333333333321
114;2015-02-07T07:00:00;1;19.685305555833313;19.383125000333312;-3.65;18.47;0.81874999999999987
115;2015-02-07T08:00:00;1;19.639749999833317;19.489294444333304;-2.16;131.73;0.7566666666666666
116;2015-02-07T09:00:00;1;20.359277777666655;19.109027777999987;-0.19;261.32;0.67458333333333331
117;2015-02-07T10:00:00;1;21.674861111166646;18.291888889166643;1.58;350.95;0.60083333333333333
118;2015-02-07T11:00:00;1;22.559408333499988;17.658166666666645;2.88;381.2;0.54666666666666663
119;2015-02-07T12:00:00;1;23.012527777833327;17.361908333333325;3.67;325.13;0.51374999999999993
120;2015-02-07T13:00:00;1;22.94897222233331;16.948819444333321;3.94;301.23;0.5025
121;2015-02-07T14:00:00;1;22.373972222166646;17.485958333166653;3.67;217.23;0.51374999999999993
122;2015-02-07T15:00:00;1;21.671888888833312;18.456513888833324;2.01;107;0.58291666666666664
123;2015-02-07T16:00:00;1;20.924625000166639;19.863472222333318;0.62;16.52;0.64083333333333337
124;2015-02-07T17:00:00;1;20.515486110999987;21.244416666333315;1.07;0;0.62208333333333332
125;2015-02-07T18:00:00;1;20.280611111166646;22.725180555666658;1.25;0;0.61458333333333326
126;2015-02-07T19:00:00;1;20.080277777833313;24.232555555333313;1.03;0;0.62375
127;2015-02-07T20:00:00;1;19.97644444433331;25.57419444449998;1.13;0;0.61958333333333337
128;2015-02-07T21:00:00;1;19.856666666666655;26.903472222166648;1.31;0;0.61208333333333331
129;2015-02-07T22:00:00;1;19.740999999999975;28.106527777666638;1.83;0;0.59041666666666659
130;2015-02-07T23:00:00;1;19.661944444666648;29.060972222333319;2.44;0;0.565
131;2015-02-08T00:00:00;1;19.577083333333306;29.719555555499984;2.74;0;0.5525
132;2015-02-08T01:00:00;1;19.517416666833309;30.256569444499974;2.93;0;0.54458333333333331
133;2015-02-08T02:00:00;1;19.39275000016665;30.84480555549996;2.92;0;0.54499999999999993
134;2015-02-08T03:00:00;1;19.38813888899999;31.096111111166628;2.69;0;0.55458333333333332
135;2015-02-08T04:00:00;1;19.339722221999985;31.327666666666634;2.39;0;0.56708333333333327
136;2015-02-08T05:00:00;1;19.275333333333325;31.591388888833311;1.88;0;0.58833333333333337
137;2015-02-08T06:00:00;1;19.225374999999996;31.572055555499976;1.71;0;0.59541666666666659
138;2015-02-08T07:00:00;1;19.149472221999986;31.299499999999977;1.92;14.53;0.58666666666666667
139;2015-02-08T08:00:00;1;19.226999999999986;31.129027777499978;2.83;115.28;0.54875
140;2015-02-08T09:00:00;1;19.334338888833322;30.840355555666655;3.9;158.81;0.50416666666666665
141;2015-02-08T10:00:00;1;19.290236110999984;30.557222221999961;4.85;195.34;0.46458333333333335
142;2015-02-08T11:00:00;1;19.148972222166652;30.80956944416662;5.62;246.9;0.43249999999999994
143;2015-02-08T12:00:00;1;19.670374999999982;30.145583333166645;5.98;257.45;0.4175
144;2015-02-08T13:00:00;1;20.65915277783331;27.753930555499981;5.96;267.4;0.41833333333333328
145;2015-02-08T14:00:00;1;20.526361111499984;26.278552777833326;5.43;217.2;0.44041666666666668
146;2015-02-08T15:00:00;1;20.054027777833319;26.327111111166651;3.6;134.89;0.51666666666666661
147;2015-02-08T16:00:00;1;19.608166666666634;26.826583333333314;0.64;25.2;0.6399999999999999
148;2015-02-08T17:00:00;1;19.398250000166652;27.179166666666632;-0.82;0;0.70083333333333331
149;2015-02-08T18:00:00;1;19.309888888833328;27.461694444499997;-1.14;0;0.71416666666666662
150;2015-02-08T19:00:00;1;19.307583333333316;27.65330555549998;-1.27;0;0.71958333333333324
151;2015-02-08T20:00:00;1;19.393361111166655;27.479166666666629;-1.38;0;0.72416666666666663
152;2015-02-08T21:00:00;1;19.469138888999971;27.539916666833342;-1.13;0;0.71374999999999988
153;2015-02-08T22:00:00;1;19.503333333333305;27.708416666666622;-0.94;0;0.70583333333333331
154;2015-02-08T23:00:00;1;19.499388888833302;27.414944444666645;-0.84;0;0.70166666666666666
155;2015-02-09T00:00:00;1;19.452944444499987;26.917638888666655;-0.56;0;0.69
156;2015-02-09T01:00:00;1;19.411027777666646;27.165722222333304;-0.45;0;0.68541666666666656
157;2015-02-09T02:00:00;1;19.398249999999987;26.799250000166651;0.08;0;0.66333333333333333
158;2015-02-09T03:00:00;1;19.358138888999989;26.719111111166658;0.27;0;0.65541666666666665
159;2015-02-09T04:00:00;1;19.319722222166661;26.7968333333333;-0.1;0;0.67083333333333339
160;2015-02-09T05:00:00;1;19.433999999999976;26.751888888999982;-0.01;0;0.66708333333333336
161;2015-02-09T06:00:00;1;19.376583333333329;26.368583333499991;0.31;0;0.65374999999999994
162;2015-02-09T07:00:00;1;19.41699999999998;26.153722221999978;0.55;17.27;0.64374999999999993
163;2015-02-09T08:00:00;1;19.529999999999976;26.938527777666643;1.02;111.13;0.62416666666666665
164;2015-02-09T09:00:00;1;20.265430555333314;30.249333333166643;1.54;95.64;0.6025
165;2015-02-09T10:00:00;1;20.866305555666646;32.185541666499965;2.05;149.01;0.58124999999999993
166;2015-02-09T11:00:00;1;21.272111110999994;33.191458333666631;2.55;145.83;0.56041666666666656
167;2015-02-09T12:00:00;1;21.497930555833317;33.981972221999975;2.85;142.16;0.54791666666666661
168;2015-02-09T13:00:00;1;21.318722222166638;33.035861111166632;3.22;122.15;0.5325
169;2015-02-09T14:00:00;1;21.62287499999999;34.786680555666642;3.38;84.23;0.52583333333333337
170;2015-02-09T15:00:00;1;21.941486111166657;37.401041666499978;2.57;33.33;0.55958333333333332
171;2015-02-09T16:00:00;1;22.071111111166637;38.748941666833296;1.47;12.66;0.6054166666666666
172;2015-02-09T17:00:00;1;22.123763888833306;38.658451388833306;1.44;0;0.60666666666666669
173;2015-02-09T18:00:00;1;21.610444444333307;36.934194444499965;1.46;0;0.60583333333333322
174;2015-02-09T19:00:00;1;20.802555555499985;35.687638888999963;1.23;0;0.61541666666666661
175;2015-02-09T20:00:00;1;20.517499999999977;34.587638888833311;1;0;0.625
176;2015-02-09T21:00:00;1;20.498777777666646;33.691138889166645;1.11;0;0.62041666666666662
177;2015-02-09T22:00:00;1;20.477083333333312;33.179263888666647;1.27;0;0.61375
178;2015-02-09T23:00:00;1;20.400083333333313;32.962416666666641;1.33;0;0.61125
179;2015-02-10T00:00:00;1;20.323194444333311;32.974861111166653;1.27;0;0.61375
180;2015-02-10T01:00:00;1;20.288305555499971;32.93880555566664;1.12;0;0.61999999999999988
181;2015-02-10T02:00:00;1;20.277749999999973;32.886694444499966;1.01;0;0.62458333333333327
182;2015-02-10T03:00:00;1;20.232374999999976;32.894236110999969;1.03;0;0.62375
183;2015-02-10T04:00:00;1;20.157777777666659;32.963333333333324;1.08;0;0.62166666666666659
184;2015-02-10T05:00:00;1;20.147916666333327;33.030749999999991;1.27;0;0.61375
185;2015-02-10T06:00:00;1;20.151013888833315;33.096763888833323;1.36;0;0.61
186;2015-02-10T07:00:00;1;20.293833333333311;33.033874999999988;1.74;19.93;0.59416666666666662
187;2015-02-10T08:00:00;1;20.355708333333304;33.322361110999978;2.52;68.88;0.56166666666666665
188;2015-02-10T09:00:00;1;20.977423611166664;35.644118055833331;2.94;67.62;0.54416666666666669
189;2015-02-10T10:00:00;1;21.1;36.2;3.54;75.15;0.51916666666666667
190;2015-02-10T11:00:00;1;21.1;36.2;4.51;94.16;0.47875
191;2015-02-10T12:00:00;1;21.1;36.2;5.31;85.28;0.44541666666666668
192;2015-02-10T13:00:00;1;21.1;36.2;5.57;86.65;0.43458333333333332
193;2015-02-10T14:00:00;1;21.1;36.2;5.44;49.83;0.43999999999999995
194;2015-02-10T15:00:00;1;21.1;36.2;4.3;35.32;0.48749999999999993
195;2015-02-10T16:00:00;1;21.1;36.2;2;15.49;0.58333333333333326
196;2015-02-10T17:00:00;1;21.1;36.2;0.58;0;0.6425
197;2015-02-10T18:00:00;1;21.1;36.2;0.08;0;0.66333333333333333
198;2015-02-10T19:00:00;1;21.1;36.2;0.21;0;0.65791666666666659
199;2015-02-10T20:00:00;1;21.1;36.2;0.3;0;0.65416666666666656
200;2015-02-10T21:00:00;1;21.1;36.2;0.33;0;0.65291666666666659
201;2015-02-10T22:00:00;1;21.1;36.2;0.33;0;0.65291666666666659
202;2015-02-10T23:00:00;1;21.1;36.2;0.08;0;0.66333333333333333
203;2015-02-11T00:00:00;1;21.1;36.2;-0.21;0;0.67541666666666667
204;2015-02-11T01:00:00;1;21.1;36.2;-0.64;0;0.69333333333333336
205;2015-02-11T02:00:00;1;21.1;36.2;-0.92;0;0.70500000000000007
206;2015-02-11T03:00:00;1;21.1;36.2;-1.06;0;0.71083333333333321
207;2015-02-11T04:00:00;1;21.1;36.2;-1.22;0;0.71749999999999992
208;2015-02-11T05:00:00;1;21.1;36.2;-1.32;0;0.72166666666666668
209;2015-02-11T06:00:00;1;21.1;36.2;-1.13;0;0.71374999999999988
210;2015-02-11T07:00:00;1;21.1;36.2;0.12;21.44;0.66166666666666663
211;2015-02-11T08:00:00;1;21.1;36.2;2.05;69.07;0.58124999999999993
212;2015-02-11T09:00:00;1;21.1;36.2;3.37;67.59;0.52624999999999988
213;2015-02-11T10:00:00;1;21.1;36.2;4.37;111.63;0.48458333333333325
214;2015-02-11T11:00:00;1;21.1;36.2;5.48;113.83;0.4383333333333333
215;2015-02-11T12:00:00;1;21.1;36.2;6.37;140.61;0.40124999999999994
216;2015-02-11T13:00:00;1;21.1;36.2;6.74;109.34;0.38583333333333331
217;2015-02-11T14:00:00;1;21.236624999999993;35.214833333166659;6.55;83.35;0.39374999999999993
218;2015-02-11T15:00:00;1;21.879722222166652;31.074305555666637;5.11;47.88;0.45375
219;2015-02-11T16:00:00;1;21.902375000333318;30.258013888999962;2.02;23.58;0.5825
220;2015-02-11T17:00:00;1;21.88399999999999;29.976805555499979;0.75;0;0.63541666666666663
221;2015-02-11T18:00:00;1;21.637597221999975;29.001291666833303;0.18;0;0.65916666666666668
222;2015-02-11T19:00:00;1;21.099999999999994;29.844763888833302;-0.06;0;0.66916666666666658
223;2015-02-11T20:00:00;1;20.929875000166646;29.697833333499979;-0.13;0;0.67208333333333325
224;2015-02-11T21:00:00;1;20.760624999999987;29.555569444499984;0.01;0;0.66625
225;2015-02-11T22:00:00;1;20.605555555499972;28.540236111166642;0.13;0;0.66124999999999989
226;2015-02-11T23:00:00;1;20.598888888833326;27.660597222333308;0.12;0;0.66166666666666663
227;2015-02-12T00:00:00;1;20.603750000166659;26.707027777833314;-0.24;0;0.67666666666666653
228;2015-02-12T01:00:00;1;20.597777777833322;25.907833333166643;-0.61;0;0.69208333333333327
229;2015-02-12T02:00:00;1;20.5981944445;25.339513888999981;-0.98;0;0.7075
230;2015-02-12T03:00:00;1;20.622361110999993;24.645458333333316;-1.35;0;0.72291666666666665
231;2015-02-12T04:00:00;1;20.605833333333329;24.180833333333311;-1.58;0;0.73249999999999993
232;2015-02-12T05:00:00;1;20.523055555499976;23.75338888883331;-1.76;0;0.74
233;2015-02-12T06:00:00;1;20.541583333333332;22.779388888833324;-1.89;0;0.74541666666666662
234;2015-02-12T07:00:00;1;20.519027777666636;22.643513889166652;-1.49;18.83;0.7287499999999999
235;2015-02-12T08:00:00;1;20.675222222499993;22.341513889166645;-0.34;81.23;0.68083333333333329
236;2015-02-12T09:00:00;1;22.23985277783332;24.62106944449998;1.65;168.75;0.59791666666666665
237;2015-02-12T10:00:00;1;23.532999999999976;22.856388888999984;3.63;220.52;0.51541666666666663
238;2015-02-12T11:00:00;1;24.028819444166647;22.524847222499975;5.44;219.78;0.43999999999999995
239;2015-02-12T12:00:00;1;24.181611110999988;22.901972222333317;6.48;228.63;0.39666666666666661
240;2015-02-12T13:00:00;1;24.171988888833305;23.739066666833317;6.94;209.54;0.37749999999999995
241;2015-02-12T14:00:00;1;23.587402777999969;24.612222222166647;6.75;147.37;0.38541666666666663
242;2015-02-12T15:00:00;1;22.775194444333316;25.617791666833316;5.33;77.01;0.44458333333333333
243;2015-02-12T16:00:00;1;22.250874999999965;26.843347222166642;1.76;21.98;0.59333333333333327
244;2015-02-12T17:00:00;1;21.957180555333316;27.878847222333313;0.25;0;0.65625
245;2015-02-12T18:00:00;1;21.773527777833316;28.093249999999991;0.44;0;0.64833333333333332
246;2015-02-12T19:00:00;1;21.413972222166631;28.059583332999964;0.79;0;0.63375
247;2015-02-12T20:00:00;1;21.215749999999979;27.7150555553333;1.18;0;0.61749999999999994
248;2015-02-12T21:00:00;1;21.145472222166649;27.2357222223333;1.26;0;0.61416666666666664
249;2015-02-12T22:00:00;1;21.008888888833319;26.825277777666649;1.09;0;0.62125
250;2015-02-12T23:00:00;1;20.998777777666646;26.043069444499977;0.94;0;0.6275
251;2015-02-13T00:00:00;1;21.002499999999984;25.403819444499984;0.87;0;0.63041666666666663
252;2015-02-13T01:00:00;1;21.001666666666651;24.920694444499976;0.83;0;0.63208333333333333
253;2015-02-13T02:00:00;1;20.964249999833307;24.739416666499977;0.95;0;0.62708333333333333
254;2015-02-13T03:00:00;1;20.902763888999981;24.378055555333319;1;0;0.625
255;2015-02-13T04:00:00;1;20.884166666666648;24.395305555833311;0.78;0;0.63416666666666666
256;2015-02-13T05:00:00;1;20.806222222166653;25.019583333499973;0.6;0;0.64166666666666661
257;2015-02-13T06:00:00;1;20.797041666499986;25.302652777833316;0.56;0;0.64333333333333331
258;2015-02-13T07:00:00;1;20.874277777999986;25.53111111133331;0.94;25.88;0.6275
259;2015-02-13T08:00:00;1;21.071472222333309;25.443055555166659;1.9;139.8;0.58749999999999991
260;2015-02-13T09:00:00;1;22.056041666333314;25.415513888666652;3.75;261.8;0.51041666666666663
261;2015-02-13T10:00:00;1;23.1873888888333;24.629847222333311;5.84;360.5;0.42333333333333334
262;2015-02-13T11:00:00;1;23.753152777833321;25.331597222499983;7.78;379.14;0.34249999999999992
263;2015-02-13T12:00:00;1;23.870527777833313;25.135111110999976;9;376.95;0.29166666666666663
264;2015-02-13T13:00:00;1;23.796777777833306;25.663180555499967;9.41;277.46;0.27458333333333329
265;2015-02-13T14:00:00;1;23.357999999999986;27.173083333166641;9.23;207.38;0.2820833333333333
266;2015-02-13T15:00:00;1;22.762583333333311;28.900227777999984;8.31;109.35;0.32041666666666663
267;2015-02-13T16:00:00;1;21.907069444499978;30.938861110999966;6.86;28.3;0.38083333333333336
268;2015-02-13T17:00:00;1;21.398111110833312;32.222930555999966;5.98;0;0.4175
269;2015-02-13T18:00:00;1;21.277555555666648;32.498736111166636;5.77;0;0.42625
270;2015-02-13T19:00:00;1;20.9147777778333;32.090902777833314;5.68;0;0.43
271;2015-02-13T20:00:00;1;20.557472222166645;31.523388888999968;5.47;0;0.43875000000000003
272;2015-02-13T21:00:00;1;20.339027777833305;31.210777777833297;5.3;0;0.4458333333333333
273;2015-02-13T22:00:00;1;20.165722222166657;31.610277777833296;5.14;0;0.45249999999999996
274;2015-02-13T23:00:00;1;20.060277777499987;32.951666666499975;5.37;0;0.44291666666666663
275;2015-02-14T00:00:00;1;19.961388888666647;34.212666666833314;5.69;0;0.42958333333333326
276;2015-02-14T01:00:00;1;19.873055555666649;35.591861111166637;5.7;0;0.4291666666666667
277;2015-02-14T02:00:00;1;19.788777777666642;36.249222222166622;5.81;0;0.42458333333333337
278;2015-02-14T03:00:00;1;19.703111110999988;36.48450000033332;5.83;0;0.42374999999999996
279;2015-02-14T04:00:00;1;19.632083333333316;36.706666666666642;5.75;0;0.42708333333333331
280;2015-02-14T05:00:00;1;19.609861111166648;38.197930555499951;5.52;0;0.43666666666666665
281;2015-02-14T06:00:00;1;19.537083333333314;39.033736111166625;5.12;0;0.45333333333333325
282;2015-02-14T07:00:00;1;19.59930555533332;38.154097222333284;5;17.89;0.45833333333333331
283;2015-02-14T08:00:00;1;19.827180555499982;36.893333333333317;5.57;81.64;0.43458333333333332
284;2015-02-14T09:00:00;1;20.036624999999994;36.34416666683331;6.68;133.36;0.38833333333333331
285;2015-02-14T10:00:00;1;20.20770833349998;36.341152777666629;7.76;193.87;0.34333333333333332
286;2015-02-14T11:00:00;1;20.71449999999998;35.283763888833313;8.62;222.95;0.3075
287;2015-02-14T12:00:00;1;20.613597222333318;34.771944444333307;8.74;205.33;0.3025
288;2015-02-14T13:00:00;1;20.61487499999998;34.992738889166638;8.51;175.3;0.31208333333333332
289;2015-02-14T14:00:00;1;20.145555555333317;35.768952777666634;7.98;134.2;0.33416666666666661
290;2015-02-14T15:00:00;1;19.873430555499983;36.137638888999952;7.19;81.95;0.36708333333333326
291;2015-02-14T16:00:00;1;20.029916666666658;35.803375000166632;5.98;28.2;0.4175
